Date,SP500Close
2020-01-21,3320.790039
2020-01-22,3321.750000
2020-01-23,3325.540039
2020-01-24,3295.469971
2020-01-27,3243.629883
2020-01-28,3276.239990
2020-01-29,3273.399902
2020-01-30,3283.659912
2020-01-31,3225.520020
2020-02-03,3248.919922
2020-02-04,3297.590088
2020-02-05,3334.689941
2020-02-06,3345.780029
2020-02-07,3327.709961
2020-02-10,3352.090088
2020-02-11,3357.750000
2020-02-12,3379.449951
2020-02-13,3373.939941
2020-02-14,3380.159912
2020-02-18,3370.290039
2020-02-19,3386.149902
2020-02-20,3373.229980
2020-02-21,3337.750000
2020-02-24,3225.889893
2020-02-25,3128.209961
2020-02-26,3116.389893
2020-02-27,2978.760010
2020-02-28,2954.219971
